Date,HomeTeam,AwayTeam,FTR,FTHG,FTAG,HTHG,HTAG,home_form_pts,home_goals_for,home_goals_against,home_xg_for,home_xg_against,away_form_pts,away_goals_for,away_goals_against,away_xg_for,away_xg_against,xg_diff,h2h_home_winrate,market_home_prob,market_draw_prob,market_away_prob,season,market_prediction,home_sentiment,away_sentiment
2021-09-25,Leeds,West Ham,A,1,2,1,0,0.6,1.0,2.4,1.0275358,2.157782,1.6,2.2,1.4,1.8271014,1.314027,-0.7995656,0.4453947368421053,0.3157894736842105,0.2631578947368421,0.42105263157894735,2122,A,0.0,0.0
2021-09-26,Southampton,Wolves,A,0,1,0,0,0.8,0.8,1.2,1.162309,1.5582093999999997,0.6,0.4,1.0,1.643308,1.1702683999999999,-0.48099899999999995,0.4453947368421053,0.3630470016207455,0.2972447325769854,0.33970826580226904,2122,H,0.0,0.0
2021-09-26,Arsenal,Tottenham,H,3,1,3,0,1.2,0.4,1.8,1.1110368000000002,2.2710192000000005,1.8,0.6,1.2,0.8981395200000002,1.9387512,0.21289727999999997,0.4453947368421053,0.44134505158578524,0.28754298815437523,0.2711119602598395,2122,H,0.0,0.0
2021-09-27,Crystal Palace,Brighton,D,1,1,1,0,1.0,1.0,1.6,1.2284964,1.23850072,2.4,1.4,0.8,1.1856328,1.1469799999999999,0.0428636,0.4453947368421053,0.3092092289489253,0.2995464405442714,0.39124433050680335,2122,A,0.0,0.0
2021-10-02,Wolves,Newcastle,H,2,1,1,1,1.2,0.6,0.8,1.5598465999999997,1.2185203999999998,0.6,1.0,2.0,1.2289004,1.9503782,0.33094619999999986,0.4453947368421053,0.591715976331361,0.22682445759368838,0.1814595660749507,2122,H,0.0,0.0
2021-10-02,Brighton,Arsenal,D,0,0,0,0,2.0,1.2,0.8,0.978486,1.061556,1.8,1.0,1.6,1.1952648,2.0894164,-0.21677879999999994,0.4453947368421053,0.3151515151515151,0.2909090909090909,0.393939393939394,2122,A,0.0,0.0
2021-10-02,Man United,Everton,D,1,1,1,0,2.0,1.6,0.8,1.9599146,1.2489816,2.0,1.8,1.2,1.646303,1.0133888,0.3136116,0.4453947368421053,0.6543619089837492,0.21912812194605918,0.12650996907019152,2122,H,0.0,0.0
2021-10-02,Burnley,Norwich,D,0,0,0,0,0.4,0.8,1.8,1.0853068000000001,1.84514,0.0,0.4,2.6,0.72534176,2.217964,0.3599650400000002,0.4453947368421053,0.5151610291323099,0.2647355288596593,0.22010344200803078,2122,H,0.0,0.0
2021-10-02,Chelsea,Southampton,H,3,1,1,0,2.0,1.8,0.4,1.6435180000000003,1.2572637999999998,0.8,0.6,0.8,1.2280572,1.2624499999999999,0.4154608000000002,0.4453947368421053,0.6956875508543532,0.19918633034987795,0.10512611879576893,2122,H,0.0,0.0
2021-10-02,Leeds,Watford,H,1,0,1,0,0.6,1.0,1.8,1.1532073999999999,2.2272100000000004,0.8,0.8,1.4,0.9035156000000001,1.7130375999999998,0.2496917999999998,0.4453947368421053,0.5608856088560886,0.23837638376383766,0.2007380073800738,2122,H,0.0,0.0
2021-10-03,Tottenham,Aston Villa,H,2,1,1,0,1.2,0.6,1.8,0.88214472,1.8065792000000003,2.0,1.4,0.8,1.027884,1.133283,-0.14573928000000003,0.4453947368421053,0.45434298440979953,0.2650334075723831,0.2806236080178174,2122,H,0.0,0.0
2021-10-03,Crystal Palace,Leicester,D,2,2,0,2,1.2,1.2,1.2,1.4378281999999998,1.1309959200000002,0.8,1.2,2.0,1.223326,1.6761591999999996,0.21450219999999987,0.4453947368421053,0.3067869752844252,0.27971753628874063,0.41349548842683403,2122,A,0.0,0.0
2021-10-03,Liverpool,Man City,D,2,2,0,0,2.2,2.4,0.8,2.830192,1.1002728000000002,2.6,2.4,0.0,2.515908,0.32540776,0.3142839999999998,0.4453947368421053,0.33158331030671456,0.2718983144515059,0.3965183752417795,2122,A,0.0,0.0
2021-10-03,West Ham,Brentford,A,1,2,0,1,1.6,1.8,1.2,1.6231474000000001,1.217515,1.2,1.2,1.0,1.568667,0.9212398,0.054480400000000095,0.4453947368421053,0.5449330783938815,0.25430210325047803,0.20076481835564056,2122,H,0.0,0.0
2021-10-16,Watford,Liverpool,A,0,5,0,2,0.8,0.8,1.2,0.8606295999999999,1.6720216,1.8,2.4,1.2,2.4921756,1.1708180000000001,-1.6315460000000002,0.4453947368421053,0.11190148386109836,0.17293865687624294,0.7151598592626587,2122,A,0.0,0.0
2021-10-16,Aston Villa,Wolves,A,2,3,0,0,1.4,1.2,1.2,1.005822,1.3633309999999998,1.8,1.0,0.8,1.4892906,1.0462918,-0.4834685999999999,0.4453947368421053,0.43940125543215836,0.2906808305166586,0.269917914051183,2122,H,0.0,0.0
2021-10-16,Leicester,Man United,H,4,2,1,1,1.0,1.4,1.6,1.3066179999999998,1.4529932,2.0,1.6,0.8,1.7174886,1.3958984,-0.4108706000000002,0.4453947368421053,0.2717731541152642,0.2642238998342847,0.46400294605045117,2122,A,0.0,0.0
2021-10-16,Man City,Burnley,H,2,0,1,0,2.2,1.8,0.4,2.2366900000000003,0.5102795999999999,0.6,0.8,1.4,1.0641589999999999,1.4519734,1.1725310000000004,0.4453947368421053,0.8450286617908678,0.10515912235619687,0.04981221585293536,2122,H,0.0,0.0
2021-10-16,Norwich,Brighton,D,0,0,0,0,0.2,0.4,1.6,0.8550634,1.847053,1.6,0.8,0.8,0.845796,1.0529731999999998,0.009267400000000037,0.4453947368421053,0.26503340757238314,0.28062360801781744,0.4543429844097996,2122,A,0.0,0.0
2021-10-16,Southampton,Leeds,H,1,0,0,0,0.6,0.6,1.2,1.41582,1.56859,1.0,0.8,1.4,1.2747648,1.8943427999999998,0.14105520000000005,0.4453947368421053,0.41257367387033406,0.27111984282907664,0.3163064833005894,2122,H,0.0,0.0
2021-10-16,Brentford,Chelsea,A,0,1,0,1,1.6,1.6,1.2,1.6863751999999999,1.0744932,2.0,2.0,0.6,1.67374,1.436512,0.012635199999999847,0.4453947368421053,0.14597147121430845,0.24968804286658022,0.6043404859191114,2122,A,0.0,0.0
2021-10-17,Everton,West Ham,A,0,1,0,0,2.0,1.6,1.0,1.5392990000000002,1.0300901999999998,1.0,1.2,1.4,1.4404374,1.352359,0.09886160000000022,0.4453947368421053,0.38049560351718625,0.2797761790567546,0.33972821742605913,2122,H,0.0,0.0
2021-10-17,Newcastle,Tottenham,A,2,3,1,3,0.6,1.2,2.0,1.2756178,1.9452242000000002,1.2,0.8,2.0,0.8932467200000002,1.7191152000000003,0.38237107999999986,0.4453947368421053,0.2717731541152642,0.2642238998342847,0.46400294605045117,2122,A,0.0,0.0
2021-10-18,Arsenal,Crystal Palace,D,2,2,1,0,2.0,1.0,1.2,1.1421069999999998,1.5842544,1.2,1.6,1.6,1.5506255999999998,1.19715212,-0.40851860000000007,0.4453947368421053,0.5925155925155925,0.24948024948024947,0.15800415800415799,2122,H,0.0,0.0
2021-10-22,Arsenal,Aston Villa,H,3,1,2,0,2.2,1.4,0.6,1.467466,0.7881562000000001,1.2,1.4,1.6,1.1620812,1.575973,0.3053847999999999,0.4453947368421053,0.5198277142432793,0.25367592455072036,0.2264963612060003,2122,H,0.0,0.0
