Date,HomeTeam,AwayTeam,FTR,FTHG,FTAG,HTHG,HTAG,home_form_pts,home_goals_for,home_goals_against,away_form_pts,away_goals_for,away_goals_against,h2h_home_winrate,market_home_prob,market_draw_prob,market_away_prob,season,market_prediction
2022-09-03,Wolves,Southampton,H,1,0,1,0,0.6,0.4,0.8,1.4,1.4,1.8,0.33,0.43029595015576316,0.27842679127725856,0.29127725856697817,2223,H
2022-09-03,Chelsea,West Ham,H,2,1,0,0,1.4,1.2,1.6,0.8,0.4,1.2,0.33,0.6149068322981366,0.21180124223602484,0.17329192546583852,2223,H
2022-09-03,Nott'm Forest,Bournemouth,A,2,3,2,0,0.8,0.4,2.2,0.8,0.4,3.2,0.33,0.4830216088614491,0.26911203922280735,0.24786635191574358,2223,H
2022-09-03,Newcastle,Crystal Palace,D,0,0,0,0,1.2,1.4,1.2,1.0,1.4,1.8,0.33,0.4751131221719457,0.27149321266968324,0.25339366515837103,2223,H
2022-09-03,Brentford,Leeds,H,5,2,2,1,1.2,2.0,1.4,1.6,1.6,1.0,0.33,0.45092838196286467,0.2705570291777188,0.27851458885941643,2223,H
2022-09-03,Tottenham,Fulham,H,2,1,1,0,2.2,2.0,0.8,1.6,1.6,1.4,0.33,0.639344262295082,0.21311475409836067,0.1475409836065574,2223,H
2022-09-03,Aston Villa,Man City,D,1,1,0,0,0.6,0.8,1.8,2.6,3.8,1.0,0.33,0.11806956662093454,0.17173755144863206,0.7101928819304333,2223,A
2022-09-03,Everton,Liverpool,D,0,0,0,0,0.6,0.8,1.2,1.6,3.0,1.2,0.33,0.13380281690140844,0.19718309859154928,0.6690140845070423,2223,A
2022-09-04,Brighton,Leicester,H,5,2,2,2,2.0,1.2,0.6,0.2,1.2,2.2,0.33,0.5182625863770978,0.27097729516288255,0.21076011846001974,2223,H
2022-09-04,Man United,Arsenal,H,3,1,1,0,1.8,1.0,1.4,3.0,2.6,0.8,0.33,0.3787575150300601,0.2705410821643286,0.3507014028056112,2223,H
2022-09-16,Aston Villa,Southampton,H,1,0,1,0,0.8,1.0,1.6,1.4,1.2,1.2,0.33,0.4545454545454546,0.27272727272727276,0.27272727272727276,2223,H
